restaurant_name,invoice_no,date,payment_type,order_type,status,area,assign_to,UniqueID,customer_name,persons,order_cancel_reason,my_amount,total_tax,discount,delivery_charge,container_charge,service_charge,waived_off,round_off,total,item_name,item_price,item_quantity,item_total
HOTELNAME,768,07-01-2019 12:28,Other [U P I],Dine In,Success,,,1,,,,700,0,31,0,0,0,0,0,669,Slice Aloo Pyaz Paratha,125,1,125
HOTELNAME,768,07-01-2019 12:28,Other [U P I],Dine In,Success,,,1,,,,700,0,31,0,0,0,0,0,669,Bedai Aloo Ki Sabzi,55,3,165
HOTELNAME,768,07-01-2019 12:28,Other [U P I],Dine In,Success,,,1,,,,700,0,31,0,0,0,0,0,669,HOTELNAME Special Shikanji,45,5,225
HOTELNAME,768,07-01-2019 12:28,Other [U P I],Dine In,Success,,,1,,,,700,0,31,0,0,0,0,0,669,Slice Paneer Paratha M,185,1,185
HOTELNAME,769,07-02-2019 13:14,Cash,Dine In,Success,,,2,,,,112,0,10,0,0,0,0,0,102,Veg Rice,100,1,100
HOTELNAME,769,07-02-2019 13:14,Cash,Dine In,Success,,,2,,,,112,0,10,0,0,0,0,0,102,Curd T,12,1,12
HOTELNAME,770,07-02-2019 13:23,CARD,Dine In,Success,,,3,,,,525,0,52.5,0,0,0,0,0.5,473,Pav Bhaji,95,1,95
HOTELNAME,770,07-02-2019 13:23,CARD,Dine In,Success,,,3,,,,525,0,52.5,0,0,0,0,0.5,473,Slice Aloo Paratha M,165,1,165
HOTELNAME,770,07-02-2019 13:23,CARD,Dine In,Success,,,3,,,,525,0,52.5,0,0,0,0,0.5,473,Veg Rice,100,1,100
HOTELNAME,770,07-02-2019 13:23,CARD,Dine In,Success,,,3,,,,525,0,52.5,0,0,0,0,0.5,473,Slice Mooli Paratha M,165,1,165
HOTELNAME,771,07-02-2019 13:27,CARD,Dine In,Success,,,4,,,,447,0,35,0,0,0,0,0,412,Slice Aloo Pyaz Paratha,125,2,250
HOTELNAME,771,07-02-2019 13:27,CARD,Dine In,Success,,,4,,,,447,0,35,0,0,0,0,0,412,Veg Rice,100,1,100
HOTELNAME,771,07-02-2019 13:27,CARD,Dine In,Success,,,4,,,,447,0,35,0,0,0,0,0,412,Chaas,40,1,40
HOTELNAME,771,07-02-2019 13:27,CARD,Dine In,Success,,,4,,,,447,0,35,0,0,0,0,0,412,HOTELNAME Special Shikanji,45,1,45
HOTELNAME,771,07-02-2019 13:27,CARD,Dine In,Success,,,4,,,,447,0,35,0,0,0,0,0,412,Curd T,12,1,12
HOTELNAME,772,07-02-2019 13:49,Other [U P I],Dine In,Success,,,5,,,,565,0,47.5,0,0,0,0,0.5,518,Shahi Thali,180,2,360
HOTELNAME,772,07-02-2019 13:49,Other [U P I],Dine In,Success,,,5,,,,565,0,47.5,0,0,0,0,0.5,518,Rice Meal,115,1,115
HOTELNAME,772,07-02-2019 13:49,Other [U P I],Dine In,Success,,,5,,,,565,0,47.5,0,0,0,0,0.5,518,Chaas,40,1,40
HOTELNAME,772,07-02-2019 13:49,Other [U P I],Dine In,Success,,,5,,,,565,0,47.5,0,0,0,0,0.5,518,Mathura Lassi,50,1,50
HOTELNAME,773,07-02-2019 14:03,Other [U P I],Dine In,Success,,,6,,,,112,0,10,0,0,0,0,0,102,Veg Rice,100,1,100
HOTELNAME,773,07-02-2019 14:03,Other [U P I],Dine In,Success,,,6,,,,112,0,10,0,0,0,0,0,102,Curd T,12,1,12
HOTELNAME,774,07-02-2019 14:21,Other [U P I],Dine In,Success,,,2,,,,140,0,10,0,0,0,0,0,130,Veg Rice,100,1,100
HOTELNAME,774,07-02-2019 14:21,Other [U P I],Dine In,Success,,,2,,,,140,0,10,0,0,0,0,0,130,Chaas,40,1,40
HOTELNAME,775,07-02-2019 14:37,Other [U P I],Dine In,Success,,,2,,,,280,0,0,0,0,0,0,0,280,Petha Sokha,140,2,280
HOTELNAME,776,07-02-2019 14:55,Cash,Delivery(Parcel),Success,,,7,,,,140,0,10,0,0,0,0,0,130,Veg Rice,100,1,100
HOTELNAME,776,07-02-2019 14:55,Cash,Delivery(Parcel),Success,,,7,,,,140,0,10,0,0,0,0,0,130,Aloo Tikki,40,1,40
HOTELNAME,777,07-02-2019 17:08,Cash,Delivery(Parcel),Success,,,7,,,,100,0,10,0,0,0,0,0,90,Veg Rice,100,1,100
HOTELNAME,778,07-02-2019 17:14,Other [U P I],Dine In,Success,,,2,,,,140,0,0,0,0,0,0,0,140,Dahi Gujiya,40,1,40
HOTELNAME,778,07-02-2019 17:14,Other [U P I],Dine In,Success,,,2,,,,140,0,0,0,0,0,0,0,140,Kaju Katli,20,2,40
HOTELNAME,778,07-02-2019 17:14,Other [U P I],Dine In,Success,,,2,,,,140,0,0,0,0,0,0,0,140,Aloo Tikki,40,1,40
HOTELNAME,778,07-02-2019 17:14,Other [U P I],Dine In,Success,,,2,,,,140,0,0,0,0,0,0,0,140,Chinese Bhel,20,1,20
HOTELNAME,779,07-02-2019 17:26,Other [U P I],Dine In,Success,,,2,,,,30,0,0,0,0,0,0,0,30,Vadav Pav,30,1,30
HOTELNAME,780,07-02-2019 17:42,Cash,Dine In,Success,,,2,,,,30,0,0,0,0,0,0,0,30,Vadav Pav,30,1,30
HOTELNAME,781,07-02-2019 17:49,Cash,Dine In,Success,,,2,,,,20,0,0,0,0,0,0,0,20,Chinese Bhel,20,1,20
HOTELNAME,782,07-02-2019 17:51,Cash,Dine In,Success,,,2,,,,30,0,0,0,0,0,0,0,30,Vadav Pav,30,1,30
HOTELNAME,783,07-02-2019 18:13,Cash,Dine In,Success,,,2,,,,30,0,0,0,0,0,0,0,30,Vadav Pav,30,1,30
